epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,227.269,1.64249,1.68873,1.55142,0.55573,0.49625,0.49522,0.23679,1.85014,1.71108,1.64024,0.00998423,0.00332808,0.00998423,0.00332808,0.00998423,0.00332808,0.00998423,0.00332808
2,451.733,1.69971,1.78966,1.59329,0.42918,0.37496,0.3351,0.15079,2.01464,2.19816,1.83092,0.0197864,0.00659546,0.0197864,0.00659546,0.0197864,0.00659546,0.0197864,0.00659546
3,681.839,1.84221,2.08536,1.72953,0.39184,0.32725,0.2737,0.11484,2.15817,2.55527,2.02302,0.0293905,0.00979685,0.0293905,0.00979685,0.0293905,0.00979685,0.0293905,0.00979685
4,910.996,1.83594,2.09287,1.75771,0.4505,0.39497,0.35463,0.16077,1.95461,2.12738,1.82079,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1138.79,1.74684,1.93042,1.69214,0.51779,0.48141,0.46682,0.22197,1.82176,1.82326,1.70379,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1366.62,1.6853,1.82412,1.64784,0.56974,0.50593,0.51363,0.2589,1.75047,1.69425,1.65359,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1593.79,1.64832,1.76114,1.61512,0.58506,0.534,0.54764,0.28461,1.67548,1.59154,1.59357,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1821.14,1.61425,1.70652,1.59274,0.60534,0.53904,0.56516,0.29937,1.6515,1.55749,1.56729,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2049.22,1.58816,1.65441,1.57288,0.61919,0.57074,0.59634,0.31761,1.64923,1.4872,1.56642,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2276.9,1.5721,1.62824,1.56039,0.62789,0.56853,0.59683,0.32536,1.58684,1.45371,1.5223,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2504.79,1.55545,1.59229,1.54286,0.64643,0.58077,0.62301,0.34017,1.58448,1.41415,1.50992,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2734.07,1.543,1.56647,1.53169,0.65434,0.58693,0.62814,0.34873,1.56827,1.38041,1.50296,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2962.2,1.52794,1.54099,1.52067,0.65374,0.60114,0.64024,0.35938,1.54519,1.35148,1.49247,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3189.53,1.51277,1.51214,1.50692,0.66722,0.60441,0.65048,0.3709,1.5242,1.31509,1.47072,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3413.94,1.50094,1.49057,1.50212,0.67362,0.61483,0.66245,0.37884,1.51444,1.2922,1.45958,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
